publishedAt,authorDisplayName,textDisplay,likeCount
2024-06-07T06:40:01Z,@carangkuningchanel7534,"Ini adalah contoh bahwa orang berniat jahat atau orang jahat,dia akan melakukan sesuatu yg diinginkan dengan cara APAPUN karena sejatinya mereka tdak punya hati.",0
2024-06-07T06:34:14Z,@harnelinurdin1216,"Masi ada hidung pesek ,membela zionis yang lebih kejam dari binatang berarti yang membelahnya juga lebih dari binatang",0
2024-06-07T06:22:22Z,@Venesaramadhani,"Innalillahi wa Innalillahi , demi Allah tidak ada yg tidak mungkin di mata Allah swt. <br>Akhirnya saya tau bagaimana rasanya darah mendidih mendengar penderitaan manusia di gaza . Smoga Allah segera menghukum orang” yg membuat penderitaan bagi orang lain .",0
2024-06-07T05:08:58Z,@jameelah4666,MasyaAllah tabarakallah Ustadz Husein semoga selalu dalam Lindungan Allah SWT....  Sukses selalu om dedy..,0
2024-06-07T05:03:28Z,@paulzonk184,"Glory israel... Yerusalem kota yg didirikan raja daud. Raja daud, salomo (sulaiman) , abraham (ibrahim), yusuf, musa  adalah yahudi /israel..semua nabi agama samawi berasal dari bani israel. Terkutuklah mereka yang mengutuk bangsaku.Ulangan 7:6 mengatakan bahwa orang Yahudi adalah umat pilihan Tuhan. Tertulis, “Sebab engkaulah umat yang kudus bagi TUHAN, Allahmu; engkaulah yang dipilih oleh TUHAN, Allahmu, dari segala bangsa di atas muka bumi untuk menjadi umat kesayangan-Nya.”",0
2024-06-07T04:26:49Z,@faizalamir866,Sering² om ded bahas palestinaa,0
2024-06-07T04:23:44Z,@fathirtaniyahrahman7089,"Selamat siang,, <br>Saya bidan pendidik yang telah lulus seleksi p3K namun nipnya d batalkan oleh pihak kementrian kesehatan dan BKN karena diduga ada mal administrasi diri pihak KEMENTRIAN kesehatan <br><br>Tolong bantu kami mnyuarakan masalah kami, kami sdh lbih 4 bln terluntang lantung tidak jelas, sdh banyak dri kami yang kehilangan pekerjaan karena ini.. kami berjumlah 689 orang seluruh indonesia <br><br>Saat ini ibu rieke diah pitaloka sementara berjuang menyuarakan suara kami",0
2024-06-07T03:16:40Z,@canisaythankyou1009,"makasih ya pak, dari segala pengalihan isu yang beredar, kami di ingatkan kembali. sehat2 pak husein dan pak Deddy",0
2024-06-07T01:28:16Z,@wondhosetia,"Semoga Palestina segera membaik, izin saran om @deddy tolong angkat kisah2 anggota TNI dan relawan di papua, menurut saya lebih penting dibahas dan dibantu bersama oleh orang indonesia  dan memang wilayah indonesia, ketimbang pemikiran dan tenaga kita habis di luar negeri, perbaiku dulu dalam negeeri, terima kasih",0
2024-06-07T01:20:01Z,@firzanandarioaditya5635,Terimakasih Akhi Husein,0
2024-06-07T00:23:56Z,@pakboss3508,hahaaa.....huzen huzen.....kamu itu nggedabrushhh......disuruh mati sangit...kok malah pulang .....saya yakin husen cuma banyak berbohongnya.....dedy berani ngundang yg dr pendukung Israel???misal bu Monic??saya yakin tidak berani.,0
2024-06-07T01:19:58Z,@mamasiah,Monic buzzer ngapain di undang,0
