conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,",created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url"
1.7744188077902152e+18,Sun Mar 31 23:29:14 +0000 2024,0.0,@fajarnugros Jokowi kasih KTP Anies kasih IMB.,1.7745797409277217e+18,,fajarnugros,in,,0.0,0.0,0.0,https://x.com/Sigmahalim/status/1774579740927721842,1.1949781020293407e+18,Sigmahalim,
1.7744674752390477e+18,Sun Mar 31 23:27:08 +0000 2024,0.0,@dipejet @KompasTV Lho... mas.... lu blm keluar dari RSJ ya?,1.7745792111284352e+18,,dipejet,in,DKI Jakarta ,0.0,0.0,0.0,https://x.com/AryoKuncoro47/status/1774579211128435173,1.5655046426282148e+18,AryoKuncoro47,
1.7744674752390477e+18,Sun Mar 31 23:26:16 +0000 2024,0.0,@nasaktion2 @KompasTV Kirain lu sdh keluar dari rumah sakit jiwa mas,1.774578990902313e+18,,nasaktion2,in,DKI Jakarta ,0.0,0.0,0.0,https://x.com/AryoKuncoro47/status/1774578990902313076,1.5655046426282148e+18,AryoKuncoro47,
1.7743870742061386e+18,Sun Mar 31 23:24:18 +0000 2024,1.0,@Maruahalsiahaa2 Anies cerdas amanah dan dapat dipercaya.,1.7745784960164703e+18,,Maruahalsiahaa2,in,,0.0,0.0,0.0,https://x.com/Langgen27393109/status/1774578496016470214,1.4170475049027543e+18,Langgen27393109,
1.7745782961829688e+18,Sun Mar 31 23:23:30 +0000 2024,22.0,KPU: Andai Anies-Muhaimin Menang Apa Persoalkan Pencalonan Gibran? https://t.co/pytoCJbTA4,1.7745782961829688e+18,,,in,"Surabaya, Jawa Timur.",3.0,7.0,5.0,https://x.com/Gr4sssss/status/1774578296182968725,1.5342003950099046e+18,Gr4sssss,
1.7742497811179894e+18,Sun Mar 31 23:23:10 +0000 2024,0.0,@irwanka5 @AdeRais Kan si AdeRais cm bilang semoga pak Anies pimpin doa lagi bwt kamu . Saya gak pikir itu doa yg jelek kan ada macam2 doa. Pak Anies jg pastinya ngedoain yg baik bwt bapak kamu. Bilang aja terima kasih semoga doa yg baik terkabul .,1.7745782105897866e+18,,irwanka5,in,,0.0,1.0,0.0,https://x.com/ANorman149750/status/1774578210589786543,1.7584528987391468e+18,ANorman149750,
1.7745779427919094e+18,Sun Mar 31 23:22:06 +0000 2024,1.0,aku bukan pendukung anies kasus harvey kan buat pengalihan isu akibat bansos buat sang anak presiden sebesar 500T logika aja 271T ga ada permainan pejabat didalamnya mana mungkin yeuuu wkwkwk,1.7745779427919094e+18,,,in,,0.0,0.0,0.0,https://x.com/wineherd/status/1774577942791909426,1486485990.0,wineherd,
1.7745775066681595e+18,Sun Mar 31 23:20:22 +0000 2024,0.0,Monggo @gibran_tweet @jokowi @IrianaJokowi_ @kaesangp @bobbynasution_ @semua Memberikan klarifikasi yg sebenarnya https://t.co/oZAMlTNR89,1.7745775066681595e+18,,,in,jl H Kamang Pd Labu Jakarta Se,0.0,0.0,0.0,https://x.com/Martinluth91/status/1774577506668159440,1.4747766637202227e+18,Martinluth91,
1.7743969926404303e+18,Sun Mar 31 23:20:05 +0000 2024,0.0,@Mdy_Asmara1701 Sebenernya gak semua caleg di bawah nasdem dukung pak anies soalnya i know one people seorang dosen perempuan belum menikah ya masih menikah sekitar usia 30 tahunan. Kemaren nyaleg di bawah nasdem dan dia garis keras pengujar kebencian ke pak anies.,1.774577434995868e+18,,Mdy_Asmara1701,in,,0.0,0.0,0.0,https://x.com/tae_ovo_nct/status/1774577434995867784,1.3126235561240453e+18,tae_ovo_nct,
1.774576966295069e+18,Sun Mar 31 23:18:13 +0000 2024,3.0,Sidang sengketa Pilpres kembali digelar Senin ini di MK. Kali ini kubu Anies-Muhaimin akan hadirkan saksi dan ahli untuk didengarkan keterangannya https://t.co/qMaCNiGTeq,1.774576966295069e+18,,,in,Jakarta,0.0,1.0,1.0,https://x.com/kompascom/status/1774576966295068865,23343960.0,kompascom,
